
Host: LAPTOP-257FNSVV

Timers On : Sun Sep 13 22:36:39 2026
Timers Off: Sun Sep 13 22:36:46 2026

Wall Time:        7.77 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.033w      2 calls
build grid                          :      0.000u      0.000s      0.017w      2 calls
post-process grid                   :      0.000u      0.000s      0.015w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.022w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.058w     18 calls
DFH: initialize()                   :      0.000u      0.000s      0.096w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.012w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.007w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.010w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.000u      0.000s      0.219w      2 calls
SAD Guess                           :      0.000u      0.000s      0.214w      2 calls
HF: Form G                          :      0.000u      0.000s      3.844w     36 calls
UV: Form V                          :      0.000u      0.000s      3.794w     36 calls
Properties                          :      0.767p                          14288 calls
Functional                          :      4.584p                          14288 calls
V_xc                                :      2.570p                          13536 calls
JK: D                               :      0.000u      0.000s      0.001w     36 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     36 calls
JK: JK                              :      0.000u      0.000s      0.041w     36 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.041w     36 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     36 calls
DFH: compute_J                      :      0.000u      0.000s      0.020w     36 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.004w     36 calls
HF: Form D                          :      0.000u      0.000s      0.001w     36 calls
HF: DIIS                            :      0.000u      0.000s      0.839w     34 calls
HF: Form C                          :      0.000u      0.000s      0.053w     34 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.208w      2 calls
JKGrad: Amn                         :      0.000u      0.000s      0.039w      2 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      2 calls
JKGrad: AB                          :      0.000u      0.000s      0.048w      2 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w      2 calls
JKGrad: ABx                         :      0.000u      0.000s      0.009w      2 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.094w      2 calls
Grad: XC                            :      0.000u      0.000s      0.352w      2 calls
V_xc gradient                       :      0.282p                            752 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.033w      2 calls
| build grid                        :      0.000u      0.000s      0.017w      2 calls
| post-process grid                 :      0.000u      0.000s      0.015w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.022w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.015w      2 calls
DFH: initialize()                   :      0.000u      0.000s      0.096w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.014w      6 calls
| DFH: AO Construction              :      0.000u      0.000s      0.012w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.007w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.010w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.000u      0.000s      0.219w      2 calls
| SAD Guess                         :      0.000u      0.000s      0.214w      2 calls
HF: Form G                          :      0.000u      0.000s      3.844w     36 calls
| UV: Form V                        :      0.000u      0.000s      3.794w     36 calls
| | Properties                      :      0.620p                          13536 calls
| | Functional                      :      4.334p                          13536 calls
| | V_xc                            :      2.570p                          13536 calls
| JK: D                             :      0.000u      0.000s      0.001w     36 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     36 calls
| JK: JK                            :      0.000u      0.000s      0.041w     36 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.041w     36 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     36 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.020w     36 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.004w     36 calls
HF: Form D                          :      0.000u      0.000s      0.001w     36 calls
HF: DIIS                            :      0.000u      0.000s      0.839w     34 calls
HF: Form C                          :      0.000u      0.000s      0.053w     34 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.208w      2 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.039w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.013w      2 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      2 calls
| JKGrad: AB                        :      0.000u      0.000s      0.048w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      4 calls
| JKGrad: UV                        :      0.000u      0.000s      0.000w      2 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.009w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      2 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.094w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.015w      2 calls
Grad: XC                            :      0.000u      0.000s      0.352w      2 calls
| Properties                        :      0.147p                            752 calls
| Functional                        :      0.250p                            752 calls
| V_xc gradient                     :      0.282p                            752 calls

**************************************************************************************
