
Host: LAPTOP-257FNSVV

Timers On : Sun Sep 13 22:33:38 2026
Timers Off: Sun Sep 13 22:33:46 2026

Wall Time:        8.44 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.031w      2 calls
build grid                          :      0.000u      0.000s      0.017w      2 calls
post-process grid                   :      0.000u      0.000s      0.014w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.022w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.067w     18 calls
DFH: initialize()                   :      0.000u      0.000s      0.104w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.015w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.006w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.008w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      2 calls
HF: Guess                           :      0.000u      0.000s      0.204w      2 calls
SAD Guess                           :      0.000u      0.000s      0.199w      2 calls
HF: Form G                          :      0.000u      0.000s      4.184w     36 calls
UV: Form V                          :      0.000u      0.000s      4.141w     36 calls
Properties                          :      0.863p                          14212 calls
Functional                          :      5.193p                          14212 calls
V_xc                                :      2.651p                          13464 calls
JK: D                               :      0.000u      0.000s      0.001w     36 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     36 calls
JK: JK                              :      0.000u      0.000s      0.036w     36 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.036w     36 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     36 calls
DFH: compute_J                      :      0.000u      0.000s      0.016w     36 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.002w     36 calls
HF: Form D                          :      0.000u      0.000s      0.001w     36 calls
HF: DIIS                            :      0.000u      0.000s      0.894w     34 calls
HF: Form C                          :      0.000u      0.000s      0.048w     34 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.003w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.257w      2 calls
JKGrad: Amn                         :      0.000u      0.000s      0.049w      2 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      2 calls
JKGrad: AB                          :      0.000u      0.000s      0.060w      2 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w      2 calls
JKGrad: ABx                         :      0.000u      0.000s      0.010w      2 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.122w      2 calls
Grad: XC                            :      0.000u      0.000s      0.403w      2 calls
V_xc gradient                       :      0.305p                            748 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.031w      2 calls
| build grid                        :      0.000u      0.000s      0.017w      2 calls
| post-process grid                 :      0.000u      0.000s      0.014w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.022w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.015w      2 calls
DFH: initialize()                   :      0.000u      0.000s      0.104w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.014w      6 calls
| DFH: AO Construction              :      0.000u      0.000s      0.015w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.006w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.008w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      2 calls
HF: Guess                           :      0.000u      0.000s      0.204w      2 calls
| SAD Guess                         :      0.000u      0.000s      0.199w      2 calls
HF: Form G                          :      0.000u      0.000s      4.184w     36 calls
| UV: Form V                        :      0.000u      0.000s      4.141w     36 calls
| | Properties                      :      0.684p                          13464 calls
| | Functional                      :      4.894p                          13464 calls
| | V_xc                            :      2.651p                          13464 calls
| JK: D                             :      0.000u      0.000s      0.001w     36 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     36 calls
| JK: JK                            :      0.000u      0.000s      0.036w     36 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.036w     36 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     36 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.016w     36 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.002w     36 calls
HF: Form D                          :      0.000u      0.000s      0.001w     36 calls
HF: DIIS                            :      0.000u      0.000s      0.894w     34 calls
HF: Form C                          :      0.000u      0.000s      0.048w     34 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.003w      2 calls
Grad: S                             :      0.000u      0.000s      0.001w      2 calls
Grad: JK                            :      0.000u      0.000s      0.257w      2 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.049w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.018w      2 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      2 calls
| JKGrad: AB                        :      0.000u      0.000s      0.060w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      4 calls
| JKGrad: UV                        :      0.000u      0.000s      0.000w      2 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.010w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      2 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.122w      2 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.018w      2 calls
Grad: XC                            :      0.000u      0.000s      0.403w      2 calls
| Properties                        :      0.179p                            748 calls
| Functional                        :      0.299p                            748 calls
| V_xc gradient                     :      0.305p                            748 calls

**************************************************************************************
